Title,Director,Cast,Country,Genre,Year,Hyperref
365 Days,Barbara BiałowąsTomasz Mandes,"Anna-Maria Sieklucka,Michele Morrone, Bronisław Wrocławski, Otar Saralidze,Magdalena Lamparska,Natasza Urbańska",Poland,thriller,2020,365_Days_(2020_film)
7500,Patrick Vollrath,"Joseph Gordon-Levitt,Aylin Tezel","Germany, Austria, United States",thriller,2020,7500_(film)
Antebellum,Bush + Renz,"Janelle Monáe,Eric Lange,Jena Malone,Jack Huston,Kiersey Clemons,Gabourey Sidibe",United States,thriller,2020,Antebellum_(film)
Archenemy,Adam Egypt Mortimer,"Joe Manganiello,Skylan Brooks, Zolee Griggs,Paul Scheer,Amy Seimetz,Glenn Howerton","United States, United Kingdom",thriller,2020,Archenemy_(film)
Asuraguru,A.Raajdheep,"Vikram Prabhu,Mahima Nambiar,Subbaraju,Yogi Babu",India,thriller,2020,Asuraguru
Aswathama,Ramana Teja,"Naga Shourya,Mehreen Pirzada",India,thriller,2020,Aswathama_(film)
Attack,Lakshya Raj Anand,"John Abraham,Jacqueline Fernandez,Rakul Preet Singh",India,thriller,2020,Attack_(2020_film)
Ava,Tate Taylor,"Jessica Chastain,John Malkovich,Common,Geena Davis,Colin Farrell,Ioan Gruffudd,Joan Chen",United States,thriller,2020,Ava_(2020_film)
Bloodshot,David S. F. Wilson,"Vin Diesel,Eiza González,Sam Heughan,Toby Kebbell",United States,thriller,2020,Bloodshot_(film)
Dead Reckoning,Andrzej Bartkowiak,"KJ Apa,India Eisley,Scott Adkins,James Remar",United States,thriller,2020,Dead_Reckoning_(2020_film)
Earth and Blood,Julien Leclercq,"Sami Bouajila,Eriq Ebouaney,Samy Seghir",France,thriller,2020,Earth_and_Blood
Extraction,Sam Hargrave,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Golshifteh Farahani",United States,thriller,2020,Extraction_(2020_film)
A Fall From Grace,Tyler Perry,"Crystal R. Fox,Phylicia Rashad,Bresha Webb,Cicely Tyson, Tyler Perry",United States,thriller,2020,A_Fall_From_Grace
Fatale,Deon Taylor,"Hilary Swank,Michael Ealy,Mike Colter",United States,thriller,2020,Fatale_(film)
Friend of the World,Brian Patrick Butler,"Nick Young,Alexandra Slade,Michael C. Burgess,Kathryn Schott, Kevin Smith, Luke Pensabene,Neil Raymond Ricco",United States,thriller,2020,Friend_of_the_World
God Father,U. Anbarasan,"Natty,Lal,Ananya",India,thriller,2020,God_Father_(2020_film)
Honest Thief,Mark Williams,"Liam Neeson,Kate Walsh,Jai Courtney,Jeffrey Donovan",United States,thriller,2020,Honest_Thief
Horizon Line,Mikael Marcimain,"Alexander Dreymon,Allison Williams",Sweden,thriller,2020,Horizon_Line
Malang,Mohit Suri,"Aditya Roy Kapur,Disha Patani,Anil Kapoor,Kunal Khemu",India,thriller,2020,Malang_(film)
Monster Hunter,Paul W. S. Anderson,"Milla Jovovich,Tony Jaa,Tip ""T. I."" Harris,Meagan Good",United States,thriller,2020,Monster_Hunter_(film)
Paydirt,Christian Sesma,"Luke Gross,Val Kilmer",United States,thriller,2020,Paydirt_(film)
Project Power,"Henry Joost,Ariel Schulman","Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Rodrigo Santoro,Colson Baker,Allen Maldonado,Amy Landecker,Courtney B. Vance",United States,thriller,2020,Project_Power
Songbird,Adam Mason,"KJ Apa,Sofia Carson,Craig Robinson,Bradley Whitford,Peter Stormare,Alexandra Daddario,Paul Walter Hauser,Demi Moore",United States,thriller,2020,Songbird_(2020_film)
Spell,Mark Tonderai,"Omari Hardwick,Loretta Devine",United States,thriller,2020,Spell_(film)
The Crimes That Bind,Sebastián Schindel,"Cecilia Roth,Miguel Ángel Solá,Sofía Gala Castiglione",Argentina,thriller,2020,The_Crimes_That_Bind_(2020_film)
The Devil All the Time,Antonio Campos,"Tom Holland,Bill Skarsgård,Riley Keough,Jason Clarke,Sebastian Stan,Haley Bennett,Eliza Scanlen,Mia Wasikowska,Robert Pattinson",United States,thriller,2020,The_Devil_All_the_Time_(film)
The Hunt,Craig Zobel,"Ike Barinholtz,Betty Gilpin,Emma Roberts,Hilary Swank",United States,thriller,2020,The_Hunt_(2020_film)
