,Title,Rating
0,365 Days,3.3
1,7500,6.3
2,Archenemy,5.0
3,Asuraguru,3.3
4,Aswathama,6.4
5,Attack,9.1
6,Ava,5.4
7,Dead Reckoning,7.8
8,Earth and Blood,5.2
9,Extraction,6.8
10,A Fall From Grace,5.9
11,Fatale,5.4
12,God Father,4.9
13,Honest Thief,6.0
14,Horizon Line,4.8
15,Malang,6.5
16,Monster Hunter,5.2
17,Paydirt,3.9
18,Songbird,4.8
19,Spell,5.5
20,The Crimes That Bind,
21,The Devil All the Time,7.1
22,The Last Days of American Crime,3.8
23,The Nest sean durkin,
24,The Night,7.5
25,The Retreat,4.9
26,The Tax Collector,4.8
27,Unknown Origins,6.1
28,V,7.9
29,Walter,7.3
30,We Still Say Grace,5.3
31,Akshara,5.1
32,Body Brokers,6.2
33,Cold Case,7.6
34,Copshop,6.2
35,Crime Story,8.4
36,Deadly Illusions,3.7
37,Drishyam 2,8.2
38,Fever Dream,5.4
39,Jagame Thandhiram,5.8
40,Lockdown,6.2
41,Master lokesh kanagaraj,
42,My Son,6.0
43,Net,6.0
44,Nightmare Alley,7.0
45,No Sudden Move,6.4
46,No Time to Die,7.3
47,Nobody,7.4
48,Ram,7.9
49,Silk Road,6.0
50,Son,7.0
51,The Gateway,4.8
52,The Hole in the Fence,
53,The Little Things,6.3
54,The Night House,6.5
55,The Voyeurs,6.1
56,The Woman in the Window,5.7
57,Vanquish,3.0
58,Wild Dog,6.1
59,Without Remorse,5.8
60,Wrath of Man,7.1
61,365 Days: This Day,2.6
62,"Alice, Darling",5.5
63,All the Old Knives,6.1
64,Ambulance,6.1
65,Bed Rest,5.1
66,Bheemla Nayak,6.3
67,Catwoman: Hunted,5.6
68,A Day to Die,5.2
69,Death on the Nile,6.3
70,Deep Water,5.5
71,Don't Worry Darling,6.3
72,Emancipation,6.2
73,KIMI,8.4
74,Memory,5.7
75,Monkey Man,
76,Salaar,
77,Samaritan,5.7
78,The 355,5.6
79,The Contractor,5.8
80,The Devil's Light,5.3
81,The Pale Blue Eye,6.6
82,Valimai,6.1
83,Vikram,8.3
84,Violent Night,6.7
85,Where the Crawdads Sing,7.2
86,Marlowe,5.3
87,The A-Team,7.5
88,Abandoned michael feifer,
89,The American,8.4
90,Buried,7.0
91,Cold Fish,7.1
92,Confessions,7.0
93,Devil,6.3
94,Edge of Darkness,6.6
95,The Experiment,6.4
96,Fair Game,6.8
97,From Paris with Love,6.4
98,The Ghost Writer,7.2
99,Golden Slumber yoshihiro nakamura,
100,Green Zone,6.8
101,I Saw the Devil,
102,Killers,8.0
103,Legion,5.3
104,Life Is an Art,4.7
105,The Losers,6.2
106,Love Crime,6.5
107,The Next Three Days,7.3
108,Salt,6.4
109,Secret Reunion,6.9
110,The Hunter rafi pitts,
111,Shutter Island,8.2
112,Smokin' Aces 2: Assassins' Ball,5.0
113,The Tourist,7.0
114,The Town,7.5
115,Unstoppable,6.8
116,Unthinkable,7.0
117,Abduction,5.1
118,A Morass,6.5
119,Blind Turn,5.3
120,The Devil's Double,7.1
121,Drive,7.8
122,Elephant White,4.4
